strain	length
NIC272	8.796496614278398
ECA2401	6.785660399299753
ECA706	10.436846947600912
ECA1921	15.08424968707497
NIC1791	9.12201022128263
XZ2213	10.831224350165865
WN2068	14.651458466578186
WN2014	16.83790070638806
MY2138	11.631356070014258
JU2576	31.545976054447657
WN2093	9.254116278072587
ECA1845	15.569709330415574
ECA2127	12.901287444708396
NIC255	30.45874454552686
QG2850	8.787930466725655
QG4194	11.68556372249646
N2	18.61678170716509
ECA1187	11.657991435061067
ECA1859	10.312972423224918
ECA1747	26.66708656196627
ECA1271	12.312030185318543
MY2585	28.89609184742884
CX11276	15.993265173082056
ECA2479	10.45632154867785
MY2011	10.433300027129855
JU2800	5.075736886322305
QG538	15.204242675841126
ECA2586	13.006825059479299
ECA778	19.644384798355457
JU830	15.26587878440422
ECA719	15.780516867846353
MY538	13.875151344610858
ECA2467	15.789417630537876
LKC34	24.413052064123033
WN2076	17.440408725273564
JU2131	8.018984877811466
JU2566	10.170760989243835
ECA1823	15.430375586627987
JU3127	14.266717980010068
ECA1073	7.373846890245515
ECA2324	25.664244991045546
WN2082	10.322274724082977
ECA2551	10.53033841737577
QG4021	13.269297174337563
NIC262	30.013639487923008
ECA2529	18.145978206903006
ECA1791	11.87776665821113
WN2080	10.072517984498313
ECA1272	14.790658364310257
ECA2579	9.717625168309285
ECA2567	11.593410713276718
ECA756	7.451946063636539
JU3271	8.676972086706533
JU2593	11.966372746959813
ECA1875	31.956214214590734
ECA2581	15.59032162296436
NIC261	14.008997400122466
QG2859	8.469778392774563
JU3135	11.009239603996305
JU2825	15.474009400724773
ECA785	19.253353547178296
MY2014	12.096604958972607
JU775	42.20360207061496
ECA1981	12.13535339204322
PX179	12.615593039218869
JU2829	4.6147777634431035
MY2042	9.928098090601289
ECA1389	12.381094749962532
DL226	9.738705922052363
ECA2338	14.139162689107504
NIC166	18.300971939185448
ECA2065	24.28067831522205
ECA1829	13.079101929455568
QX1792	20.400481165940533
NIC1802	13.407292457570032
JU1931	7.086947870256384
ECA1817	17.69471623074562
MY713	10.14084639583699
ECA1843	7.998707200401458
QG2840	9.6124890917049175
ECA2566	12.206024109353349
NIC2011	8.77173509400875
ECA2599	18.982114515684025
ECA1837	10.591171449605795
ECA735	11.683622954691542
ECA2571	16.884546056733853
ECA2596	12.231588705956064
JU3228	17.264601931359064
ECA2203	9.175682489542785
MY904	10.311500116614292
WN2011	28.62599050740641
ECA593	22.17206755669218
ECA1074	7.419956856369264
QG2855	9.029656442979618
ECA2344	23.496340429924032
ECA1234	10.932545814188153
ECA1769	18.57736404381692
MY2541	15.749799198106443
ECA2075	19.295849669803232
NIC508	17.40380182909114
MY16	29.948791074027636
MY559	8.377223845388286
ECA771	8.652009797353616
ECA1247	14.41977094448759
ECA1220	13.13364419707655
QG2844	8.962131107974013
ECA2678	14.299443340582654
JU1530	17.039606712044055
ECA1869	26.66026041313518
QG4079	13.610939231030944
ECA1737	24.62968190496857
MY2741	11.568448423923803
NIC265	7.789706584720082
ECA2415	12.789325219272936
ED3046	17.79664000201771
MY2535	11.478102336453468
ECA695	15.425624051657325
ECA243	19.51629412323085
ECA2439	12.495265435313934
ECA1267	11.596288403470217
JU4047	9.468872274140962
NIC269	13.823219075072354
WN2060	11.44966004965725
ECA1971	22.295942081068173
ECA2099	22.476567332981087
ECA2528	13.093021919228775
ECA2283	13.936452838035175
ECA2159	13.118318823720468
JU1400	6.283309383753585
ECA1969	10.678907538993654
JU2570	5.781205983410115
JU2257	6.989039480649642
MY2502	14.979046687442844
ECA1809	17.187439680356626
ECA1194	12.501087738728689
ECA2073	21.83089396119309
JU4075	9.726860546139585
NIC522	18.46553566443697
JU2853	8.444816103421648
ECA1283	15.013445123709328
ECA812	12.121098787131233
ECA1923	13.276457938307434
ECA2609	14.725207643165081
ECA1745	14.71804687919521
ECA2043	19.172510529649283
ECA769	14.597986967401297
ECA1385	16.509107871023794
NIC270	7.358989978083727
MY679	13.038278882524526
ECA2473	13.457819343525664
NIC1107	9.392513099471591
ECA2559	15.076553538883052
MY2684	40.56472404390308
ECA1911	10.395823131586605
JU346	21.553029549950992
ED3049	40.67474550153362
ECA758	11.121067983376252
ECA2356	16.534538621571
QG4077	13.08512500195359
NIC236	9.706181330563043
JU2619	5.01962861985184
ECA2524	11.459096196570819
JU440	8.649199030187875
JU642	8.224907034216075
ECA1205	12.231454859900554
MY2001	12.669934537756582
MY2078	66.73129328128368
WN2091	9.472820732778555
QG4163	16.238069608612786
JU2460	3.490163051217918
ECA1997	22.00790536960719
WN2017	18.403364171651827
QG4015	14.816089114857462
QG2876	8.81449890874471
ECA2534	17.27410500130039
JU1543	14.96191439233736
ECA2091	12.52578233597058
QG4166	13.903928246545853
JU3131	19.02072910269912
ECA1210	12.31939171837168
XZ1735	9.358917739538176
WN2090	10.004925726464952
JU3169	4.215160287804871
MY2530	8.750252802099139
MY673	16.16304889449853
ECA2103	13.427837827091063
ECA1718	13.148099571071803
ECA2602	16.492979421334645
ECA1807	16.069892039862452
ECA2600	22.435945055133313
XZ1516	5.2427901482063435
NIC198	15.634356975227679
ECA1877	10.240026322971092
ECA2330	21.786724762874258
ECA398	25.33933369129112
ECA1889	13.266285638088553
MY2051	22.38769355212138
QG2826	25.044604677054558
ECA2167	13.729392990158715
JU792	7.67935051195076
ECA2642	10.630053728731918
ECA2558	15.742504588081058
CB4854	11.915645091920915
JU2879	6.511657446759165
ECA1741	25.89292097688713
ECA1821	17.645460882317348
QG2833	8.975248021414151
ECA1252	13.280473319972781
JU2581	9.618110626036405
ECA2313	13.307443300158372
JU3142	13.811039084020798
MY10	11.73675983872965
ECA766	16.89739527806297
ECA1222	10.146467930168479
JU3224	10.775812083184059
MY684	44.45375503284836
ECA1913	10.597997598436887
ECA770	9.27178395740012
ECA2352	17.463028708655024
JU315	8.01222565200813
ECA2336	10.486972295390009
MY2291	36.71925994602682
JU1934	7.527970623167132
NIC1604	9.219316303639568
JU1793	9.289853174894185
NIC274	3.59090228489873
ECA1238	12.140707234263685
ECA1264	12.789459065328447
MY792	9.15868404049281
ECA740	3.8297907247758483
ECA747	10.314110114696767
ECA1294	11.71393908626492
QG2838	11.096774924300895
WN2050	8.918831909016008
MY570	9.831394315494153
ECA2565	11.604519935884182
ECA731	11.804820557957303
ECA348	27.58225896652689
ECA259	20.45462189539498
ECA2548	11.108754146269185
ECA1260	12.763559853586951
ECA589	7.482061426126651
NIC1805	20.304312775055443
ECA1191	11.46960311192848
MY881	10.274826297404111
TWN2530	11.716281392236374
NIC277	11.34124474469285
ECA783	14.634058479361675
JU2534	24.19956760558202
ECA1192	11.603114552301308
ECA762	12.704466820078576
ECA2477	6.605938608261542
ECA1287	12.854307479223822
QX1794	34.29330018987892
NIC1779	17.27638038424409
JU3795	11.655314513950836
MY2681	44.30357975856434
ECA702	11.616365311796958
MY2481	19.084506748150403
ECA1785	12.956833557745714
ECA2097	7.978831061157985
ECA2081	24.737427979655415
ECA1273	12.596252284197442
JU2513	7.593488267340064
ECA2555	11.149309501089201
ECA773	10.87485816426265
JU2587	20.036419894948956
ECA1867	14.846003708264305
MY2143	12.213854103600777
JU3403	9.326928532270902
ECA1925	16.76200999291298
JU394	20.604931015734515
ECA2119	11.856953596579075
ECA2570	10.24932862382915
QG4012	17.776563093690967
XZ1514	8.095611744591862
ECA1839	9.159888654992415
JU774	9.185319405539621
ECA2358	19.00828141953654
NIC260	9.564706049887272
WN2066	9.612957552899207
JU2811	8.171502458066945
WN2033	16.56974013417055
JU345	9.758113600101547
JU2586	19.748583952571245
ECA592	5.254836293202389
ECA1193	11.009641142162838
ECA786	12.284190205772127
MY2142	8.86696656250526
QG4137	14.899274438357928
ECA2289	9.754767448713757
JU2605	11.940674304301586
ECA2377	11.848186679943064
ECA1897	20.397135014552745
ECA2309	13.851326746729791
CB4856	17.55230402768127
JU2841	5.030155612117828
ECA1709	14.032955844059043
ECA2365	8.003191043261097
ECA2421	14.241287229462861
ECA2281	13.087065769758508
MY2406	10.678238308716097
JU393	10.517154580907876
ECA2573	15.066314315636413
MY2212	15.064842009025787
BRC20067	8.124656338637882
NIC527	9.222729378055115
JU3227	17.31191651198242
ECA2405	12.187887968831525
QG4011	18.196572015886396
ECA1973	25.73371109385607
ECA1919	16.79373150806923
ECA2612	31.696352097814948
ECA1277	10.278373217875169
NIC271	15.410967908578804
ED3011	52.31199079799039
CB4852	11.749609060058763
ECA399	13.463976262079198
ECA757	22.32833282650198
MY2199	13.027370429000332
WN2056	8.41797996929157
JU1929	9.340313137822063
ECA2342	23.424933559308588
ECA1256	13.094092687672868
ED3040	10.353126239878401
QX1213	103.42686247548495
ECA2069	23.722406417683136
ECA2315	13.675519952815295
JU1762	6.674976403694429
ECA807	14.786576059617154
WN2079	9.479780727665156
ECA2489	14.064476590132026
QG2856	8.971834946998605
ECA2589	11.241395587281188
QW947	8.174246302204933
ECA192	24.973867036716673
CX11262	14.373326363225063
ECA2487	10.57979453488731
ECA2610	16.42190716585798
ECA717	11.534585371879366
ECA1895	24.528828902140575
NIC276	8.045486396802765
JU2565	15.25744648290699
JU3318	14.60929695909203
NIC512	22.21289060362322
ECA2117	13.532304673417872
ECA923	8.82821812943465
ECA1207	13.724440686104787
ECA1755	10.599001443853226
JU3133	12.37681167618616
ECA720	16.23726653227972
ECA711	17.663730868894678
ECA1833	12.729562955487003
ECA1218	11.023293439825023
MY990	10.145263315668874
MY2339	12.28459174393866
QG2878	8.404059979518363
JU1960	64.59076023851429
ECA1985	12.416162416506573
MY2636	35.12923572957667
AB4	54.081703343964875
ECA2429	12.372327833326521
NIC1811	11.848052833887552
ECA811	17.29096960429485
JU2478	15.944812900986854
NIC256	12.424393948920535
ECA1258	11.425433913609648
MY2282	10.445279249098144
NIC1780	16.91713757125093
ECA701	12.417567800089445
QX1215	27.582526658637917
ECA739	18.571876355540944
ECA2601	18.71214702171711
MY561	6.049072094305496
ECA1240	12.460331614825403
ECA2672	11.206060228626123
ECA2590	12.123641862185952
TWN2803	12.592437671615361
XZ2211	11.645075290704199
ECA191	14.69890689325705
ECA2443	10.576247614416252
ECA1241	10.810545134589322
ECA2322	17.12941741529234
JU751	11.778319038966004
ECA1217	9.647422912193448
JU1212	12.41910702972783
ECA1206	10.552623785618453
ECA2576	10.583341455358367
JR4305	16.162245818165463
ECA2652	13.693321478198337
ECA1909	12.081011893505504
XZ2212	12.925848195894778
MY2373	8.146406322658517
ECA2071	20.694139411733
ECA1967	13.545555432913522
MY2121	9.9547334556481
ECA2575	11.62238838429498
QG2812	9.431997685847513
BRC20231	4.609397152011536
QG4008	12.809736742738457
ECA2417	14.38135712655576
ECA2569	9.402886168773739
ECA2564	11.660735279199058
ECA2594	11.283088633573055
QG2852	8.338609258373186
ECA2437	13.460830879774676
ECA1244	13.755693740066746
ECA728	10.6016114419357
ECA736	11.868330511297561
QG2874	10.859064329712279
QG4014	16.191892719461283
ECA1871	27.424856005245243
NIC1119	8.19151244336593
JU1200	16.976899835036864
JU310	6.758824265169676
NIC1807	12.925245888644975
ECA393	16.905827579560203
ECA1251	12.800501364908156
ECA1257	10.419915421578693
ECA2533	15.716538453311806
MY2050	12.845072101393521
MY2443	9.45247613234079
ECA2199	15.129021192643602
ECA759	11.69801140565904
ECA2561	10.325955490609545
QG2931	8.834040432849404
ECA1799	26.99755247302443
MY2109	9.855085067319706
NIC513	8.36839000572452
ECA2332	26.77717494262457
JU323	7.375252273828387
JU2907	10.449093861680224
PB303	46.60338960739255
ECA1288	13.394510159268672
EG4724	27.21130462367647
NIC1977	8.058469464187391
JU2467	7.426515313089333
ECA1228	11.288040937626983
ECA1199	11.907480482534707
ECA808	13.956462823334158
ECA1841	6.179525152309885
ECA1190	11.546497670819898
ECA1237	11.182369476800568
QG2872	10.43510694887926
ECA372	15.03305357084178
ECA1231	10.78745669001357
QG557	44.530248053573246
ECA810	18.86265691113991
JU1896	14.704729196671805
ECA2611	16.481535583588403
JU3786	12.430483944446316
JU312	7.410587632483452
QG4078	13.488603936293334
ECA2578	11.375643180959331
NIC1800	14.641219243331546
ECA2445	10.352791624739622
ECA721	9.377856956393067
ECA752	15.794570703675074
JU3138	12.340472472114758
QG4005	12.43342855766757
JU4067	8.959052648697247
ECA1413	11.098581846050303
ECA1797	12.559377695903994
MY2630	36.04721890130303
ECA1695	22.45695888584864
WN2092	9.321240074911657
QG4158	13.602774621644734
ECA2350	16.395071031727905
NIC259	14.953883629006665
JU1246	10.209643268369957
QG2873	10.591439141716819
WN2064	6.65474557240385
ECA1235	12.142648002068603
ECA2334	30.46992069116208
ECA2577	10.9722980926751
JU561	10.462946928425675
QG2832	9.722309780252193
ECA1203	13.079101929455568
JU1213	12.676426071448896
ECA1979	34.42212701830885
ECA729	13.291515619552492
ECA760	15.575263941719305
ECA1753	22.954598520240797
JU363	18.993357584347
JU3167	4.713810459916142
JU2610	11.124213365680776
ECA2435	13.417330911733401
ECA1282	14.077794272655433
ECA1188	12.608298429193487
ECA1901	19.654088637380053
ECA713	15.754550733077103
WN2089	9.499054559658829
NIC523	5.796216818535742
JU755	10.120970256593518
MY2692	10.42506849471589
ECA1805	24.9724616531338
QG2818	8.85083811281611
ED3077	9.863918906983473
ECA925	8.829623513017522
ECA1721	14.065279666465097
ECA2362	18.1955012474423
QG2825	9.51946608312435
BRC20113	7.196233174581612
ECA1989	13.136053426075758
ECA2660	11.39110240037092
ECA1286	12.048420378988428
QG4193	12.143116463262894
CX11264	55.279224002627224
ECA782	12.422453181115618
ECA2532	14.726211488581418
JU3402	9.231697063774392
ECA745	10.186354054710938
QG4018	14.521159331537634
ECA190	27.40457832783523
ECA1249	13.432923977200504
ECA1266	12.848819790947847
QG2837	10.341080094882356
ECA2582	8.338475412317676
QX1793	13.79825678571944
ECA726	15.403606375525667
CX11307	9.081923327656902
QG2853	8.686675925731123
ECA1072	6.668719100599262
NIC1	16.402231795697777
ECA1269	10.166143300328683
ECA2111	10.316787035806998
ECA2605	14.039982761973404
JU2464	13.945018985587916
ECA1406	11.238450974059933
ECA1391	12.234600242205076
MY2573	10.392878518365348
JU2250	3.620234647964099
ECA2101	12.58862305903328
ECA1878	11.30611015512105
ECA1891	11.639587602428223
ECA2525	15.73293459511198
ECA1186	12.496470049813539
ECA2360	11.541813058876993
ECA2583	12.33391401539469
EG4349	7.256129284423056
MY23	37.613217750788856
ECA2644	10.650933713391728
JU3132	8.207507046999567
JU3280	10.451436167651677
ECA253	21.034911469065555
ECA2656	36.32280792960144
NIC2004	11.451333125351145
ECA2095	9.43795383531778
QG4182	12.82579826939985
ECA2207	8.441938413228149
JU847	27.61096894543413
WN2070	17.604303220247527
ECA1861	7.63263823857721
JU3141	10.360420849903784
ECA2654	38.202943471373
ECA2606	14.151677295297839
ECA2151	13.025563507250924
ED3017	18.715024711910605
WN2019	12.516747727223548
NIC242	16.255335749773785
NIC1808	19.26941507383969
ECA1233	10.76175824735534
ECA1975	12.077398050006694
ECA924	10.416368501107636
ECA2481	14.880469067558547
ECA738	11.05046418909388
NIC197	20.89751849308289
ECA2143	12.473916989459832
JU3791	13.652498431267297
ECA2537	15.135378880280404
ECA2121	10.076801058274686
ECA571	6.627447669382257
JU2866	7.9645095332182425
MY710	9.773505896485382
ECA1771	21.418982725356113
MY2198	7.810385800296625
WN2069	10.341950094243181
MY2239	10.240227092054358
DL200	8.950151886005724
ECA1415	10.69463445051627
QG2831	11.062175718951146
JU1440	7.847595003728853
QG2839	9.435611529346327
JU2466	9.40509462868968
ECA1801	22.59743032110807
ECA2659	16.03709975626211
BRC20263	8.76885740381525
ECA724	12.90490128820721
ECA2348	15.359370254179082
ECA1261	12.017836555304028
MY1	17.731323126928046
ECA2553	9.996761117078744
JU3225	12.513066960696978
NIC232	16.21933116084116
ECA712	17.47460639245678
CX11292	45.463757367738964
ECA2291	10.057393380225502
ECA694	16.36850258970885
JU2001	8.37427923216703
ECA2603	9.929101936017627
QG4186	13.755693740066746
ECA1290	11.21629945187276
NIC1049	5.406711412391411
JU406	8.797299690611469
WN2075	14.447410154950738
ECA1795	11.575274572754894
JU2519	7.6636905234559025
NIC1781	13.066721169320743
JU1568	12.619876112995241
ECA930	19.854188490369907
WN2010	19.96702071516619
ECA746	15.159538093300249
ECA750	16.279896500960167
ECA772	10.936159657686964
JU3785	11.372096260488274
QG558	52.100045569087754
ECA1285	16.61698779176615
ECA1793	11.485932330700896
WN2035	10.923511205441118
EG4725	15.037938951867954
QG4010	17.09930205280223
MY518	56.97619121743116
JU2151	17.12326049673881
CX11271	24.82509714601552
JU2575	4.8545295103782715
ECA2527	14.86621446264656
WN2077	9.092898704208855
QG2829	8.905514226492603
ECA779	8.819451212798638
QG2823	27.227968457587664
ECA1276	9.998835730939174
MY2691	35.87054210802771
ECA2562	12.700183746302205
ECA2354	13.955458977917822
NIC1798	14.72012149305564
ECA2607	16.995839051891757
