isotype	length
BRC20391	17.683940728081925
BRC20400	15.02670618428424
BRC20464	10.73491368318422
BRC20548	11.000412942022262
ECA1299	12.839247529460136
ECA1300	12.047061205671543
ECA1301	11.542448778675697
ECA1302	10.828385978273676
ECA1303	13.05801064075345
ECA1304	11.633506660238854
ECA1305	10.083884321629426
ECA1306	6.383739543695495
ECA1307	11.880639130466145
ECA1310	6.643319177941385
ECA1311	9.237804838771728
ECA1312	8.155552598515031
ECA1401	16.61987419542151
ECA1403	12.838902613242094
ECA1405	14.132769576173176
ECA1445	10.952038442441832
ECA1447	10.6604980091416
ECA1449	13.041799578505463
ECA1451	12.659546179860111
ECA1481	11.189513258563936
ECA1518	7.4545017624386585
ECA1579	7.755984405723958
ECA1581	8.14623123772244
ECA1583	7.775722236301428
ECA1585	7.77892133422377
ECA1599	8.098882863890687
ECA2087	10.195119801948062
ECA788	14.699294464307613
ECA789	19.035494928480578
ECA790	15.712399625752285
ECA791	14.264527571465324
ECA792	15.095689427892697
ECA793	16.612975871060662
ECA794	14.836226202870398
ECA796	11.368438546673369
ECA797	10.463981993912013
ECA798	10.79113502672511
ECA799	11.962384274142165
ECA800	9.229871765756755
ECA801	11.05818640854434
ECA802	9.012660777444633
ECA803	8.49952029695769
ECA804	9.001106084140217
ECA805	6.170878811183432
ECA806	12.60634285322709
EG5889	11.811828344966711
EG6180	15.790005774811794
JU1373	14.729043488113758
JU1374	12.792856298133453
JU1428	13.933350516108403
JU1630	16.647208805701357
JU1631	18.153802846110015
JU1632	12.335583622063906
JU1633	14.797078212122598
JU1634	16.72007235676279
JU1635	19.774133009418108
JU1636	15.120437166537231
JU1639	14.000407977499455
JU1640	11.589702300547488
JU1641	13.587370806393832
JU1800	13.803547046051827
JU1818	19.335313351013824
JU1819	20.231405685487655
JU1821	8.98480879283772
JU1835	15.626343029350735
JU1838	19.768571235402177
JU1845	14.847867125229323
JU1846	11.607120569558623
JU1847	19.329536004361614
JU1848	13.46121769964487
JU1849	14.165881533105235
JU1850	16.09266975614389
JU1851	14.512608561292232
JU1870	18.094735943770274
JU1871	15.690497445906598
JU1975	11.182097559876029
JU1976	14.014204626221145
JU2505	18.246671537817896
JU2750	14.72895725905925
JU2752	14.449575122445006
JU3170	12.194426659830105
NIC1000	15.887272148299719
NIC1004	15.234087060382159
NIC1005	11.512009922433464
NIC1012	11.77966490763427
NIC1016	12.39094267505969
NIC1028	10.079745327012919
NIC1033	14.247799134890275
NIC1038	14.238529511530391
NIC105	16.11345095828094
NIC1112	7.631521388443404
NIC1116	15.93176634042717
NIC1121	13.929786381855298
NIC1126	13.68666356266275
NIC1136	13.087242290232533
NIC1137	15.555548975597558
NIC114	14.067063036636123
NIC1140	15.935991564098188
NIC1142	14.390680678214288
NIC1144	11.64325054339855
NIC1145	12.058615898975958
NIC1146	14.573400044722183
NIC1147	12.44380108547467
NIC1149	14.394992130939816
NIC1150	13.180542127212966
NIC1151	11.433110337556295
NIC1152	10.174683516029056
NIC1153	12.617207714095423
NIC1155	12.40758488258023
NIC1156	11.795099908391663
NIC1157	14.767674104534494
NIC1160	13.49247573190495
NIC1161	14.277548158696423
NIC1163	13.108885782914685
NIC1164	14.826654777819723
NIC1165	14.919523469527604
NIC1167	10.605613215945624
NIC1168	12.318337811161792
NIC1169	13.29307104334926
NIC1170	10.339639697307774
NIC1175	15.470915158595435
NIC1176	11.374215893325577
NIC1177	10.135449296226748
NIC1179	18.570892782777634
NIC1180	13.85424973010404
NIC1181	16.79310836593324
NIC1188	19.287671798396737
NIC1192	15.62660171651427
NIC1193	12.483897595822084
NIC122	13.210549838182645
NIC124	14.318765646752475
NIC125	12.687268820885262
NIC1252	14.565811887925252
NIC1254	13.29126023320454
NIC1257	11.596298823217545
NIC1268	10.596429821640248
NIC1270	14.261164638339414
NIC1272	13.908487805391188
NIC1275	14.557275211528706
NIC1276	16.235723757576924
NIC1277	12.717233417327682
NIC1278	14.961473904546999
NIC129	17.244172550078023
NIC1290	12.045767769853883
NIC1293	14.837260951524524
NIC1300	12.121218192550632
NIC1301	15.194249237198276
NIC1305	12.61824246274955
NIC1307	12.488209048547612
NIC1309	11.805706082096462
NIC1313	11.936041297989185
NIC1316	11.740603145940982
NIC1317	13.807858498777355
NIC1321	14.41516972969529
NIC1323	16.17769160389131
NIC1328	11.243751333851087
NIC1337	13.939702723124013
NIC1338	13.88744791609061
NIC1341	14.333855731291822
NIC1343	8.521448345519728
NIC1344	13.787163525694817
NIC1354	15.00195844563971
NIC1355	13.463028509789591
NIC1359	15.627464007059373
NIC1363	14.803717849319911
NIC1372	14.203391171817332
NIC1376	14.673511977008953
NIC1378	12.552535923212497
NIC1381	14.722274507334678
NIC1382	14.278324220187018
NIC1383	15.130267278751436
NIC1384	18.405505456226365
NIC1386	16.00747545028745
NIC1389	15.498551570566073
NIC1391	10.114926781253232
NIC1392	11.850286503278426
NIC1393	15.147426860599037
NIC1395	18.20493667543478
NIC1400	12.793459901515027
NIC1405	12.265910546019365
NIC1408	14.537614987100296
NIC1410	14.052332239823901
NIC1411	13.699985951584633
NIC1415	14.568743675778613
NIC1419	14.916160536401692
NIC1420	15.647296689596804
NIC1422	13.155277014241372
NIC1425	13.458113453682488
NIC1430	13.169763495399145
NIC1432	15.709180407717222
NIC1433	14.623240438229292
NIC1438	10.668172394993041
NIC1453	14.393224435322349
NIC1470	14.416911556596402
NIC1476	17.60555851753182
NIC1477	15.906673685564595
NIC1478	15.227619881293867
NIC1514	12.757674843893138
NIC1526	10.877881455562743
NIC1531	13.30531556908976
NIC1534	10.511666661056358
NIC1541	9.11225533540434
NIC1542	10.96376559385527
NIC1543	10.85615173382608
NIC1545	10.41181341593312
NIC1546	15.123713870608631
NIC1547	9.490800884705736
NIC1548	8.83502892515286
NIC1549	11.5628850645947
NIC1550	12.371411794213046
NIC1551	11.180545436894839
NIC1553	12.107938918156004
NIC1555	17.86260732902782
NIC1556	10.033009179468191
NIC1557	10.157308361545176
NIC1559	11.047580234839542
NIC1560	10.724738654751974
NIC1561	13.134840728322365
NIC1563	13.478980884874046
NIC1564	12.408188485961805
NIC1565	12.63471221216107
NIC1583	11.019354590996416
NIC1586	12.445439437510371
NIC1587	11.236335635163176
NIC1588	9.085351870397043
NIC1592	6.7221928941022036
NIC1594	8.556267637731095
NIC1596	12.715163920019428
NIC1603	10.674553345026823
NIC1644	14.535373031683022
NIC1646	12.27875867514144
NIC1647	13.25211224245674
NIC1648	9.86287925491884
NIC1649	13.151827852060947
NIC1650	12.5680571530244
NIC1651	10.22210949600987
NIC1653	11.61005235741198
NIC1656	14.797854273613192
NIC1657	16.491824049473312
NIC1658	9.558663150605554
NIC1679	11.781303259669968
NIC1694	9.757938495579477
NIC1846	14.773480194204872
NIC1851	15.315487287840137
NIC1855	16.303586023476743
NIC1856	15.514072800377976
NIC1862	11.464239026234608
NIC1877	15.415146517590726
NIC1879	11.842612117426984
NIC1881	15.218220914352214
NIC1886	13.53580583179651
NIC1911	11.851666168150594
NIC1912	13.990146720012696
NIC1913	13.111903799822555
NIC1914	18.035841499539558
NIC1915	17.77241173800977
NIC1916	16.67161162812785
NIC1917	12.983163821438277
NIC1918	14.459405234659211
NIC1919	13.944186633958564
NIC192	15.70567375950046
NIC1927	13.355673336923932
NIC1928	16.04498508899955
NIC1929	19.813927718074737
NIC193	14.280393717495272
NIC1939	15.856531490366699
NIC1941	16.012821651667103
NIC1950	16.581329808055283
NIC1962	16.155358278773075
NIC1976	15.089049790695384
NIC203	20.82043635684935
NIC247	19.98030667875288
NIC249	16.55468503021152
NIC280	10.929360201105553
NIC284	20.092145762453086
NIC286	18.431632859743065
NIC291	15.383349553739954
NIC294	15.688902208398154
NIC300	18.290734584672794
NIC311	15.982296566370364
NIC312	18.122415470268166
NIC314	13.118543437019868
NIC321	20.1587577070625
NIC322	16.58262324387294
NIC339	13.0200698567688
NIC344	15.814322368183776
NIC350	19.077574707081734
NIC354	15.009374144327616
NIC359	20.23537222199514
NIC365	18.445429508464755
NIC372	19.318067540111713
NIC382	15.574691825698906
NIC384	16.079562939858285
NIC387	14.721110415098787
NIC389	17.012302622499107
NIC391	11.973076676901476
NIC393	15.666525768752662
NIC396	21.06920717911234
NIC404	16.571930841113634
NIC407	16.11690012046136
NIC408	15.598922190016376
NIC413	11.358349747295632
NIC416	16.414160414377463
NIC417	15.880632511102403
NIC420	13.668167430470232
NIC422	16.682476488996183
NIC424	16.39904158681994
NIC425	17.172688663888763
NIC426	14.671873624973253
NIC434	11.809413931440417
NIC436	13.490708036287483
NIC441	15.119747334101145
NIC443	7.959838513492395
NIC444	12.341102281552583
NIC445	14.991093584771377
NIC450	19.245893821486366
NIC454	15.276382411619593
NIC458	16.251848590770404
NIC459	16.88390756033287
NIC468	15.208563260247033
NIC469	36.32416167068606
NIC475	16.0805114594579
NIC478	18.25331117501521
NIC479	14.868907014529901
NIC489	14.30462408181274
NIC491	12.526408519695794
NIC492	14.144410498532103
NIC496	24.93977074892823
NIC51	13.96169113202421
NIC517	13.559605050841428
NIC530	10.64670136041991
NIC533	12.81389618743403
NIC535	14.505796465985895
NIC540	12.505023714177172
NIC55	10.766214829971556
NIC551	14.044988398681419
NIC56	13.60841069569441
NIC567	17.824752774097682
NIC57	9.158387879567494
NIC570	15.53041320620773
NIC571	14.445953502155561
NIC575	14.359638218590483
NIC577	13.981236384379939
NIC58	19.009281295909364
NIC584	12.3893905520785
NIC585	11.018865959687522
NIC586	12.814672248924625
NIC587	16.04090358041938
NIC589	15.56713816052378
NIC591	15.700413787175314
NIC746	16.63108397250788
NIC747	13.810272912303649
NIC749	16.06779267391759
NIC751	19.95340321374558
NIC753	13.020544116568608
NIC763	14.637209545060003
NIC773	10.130448011065134
NIC775	14.413445148605078
NIC85	14.759568573410501
NIC894	9.278332494391694
NIC895	8.890732894366689
NIC898	11.478553049283363
NIC903	15.559515512105044
NIC904	16.892702923892948
NIC905	12.92159627651773
NIC907	12.338386066335499
NIC908	15.351272345462021
NIC909	18.10197918434916
NIC91	21.43947473918072
NIC917	11.169421888862976
NIC920	22.324615983731707
NIC925	14.059776681529982
NIC926	13.93599487378006
NIC927	13.216068497671321
NIC929	15.252195161829379
NIC933	11.530549169153236
NIC934	12.673515286690824
NIC936	19.369028911327455
NIC938	11.338603293812712
NIC939	9.975753087273173
NIC94	19.748954125501022
NIC940	11.930651982082276
NIC941	10.373613944784937
NIC942	12.341274739661605
NIC944	13.7086950860902
NIC945	13.930332499200532
NIC947	15.359550334695037
NIC948	13.646825739478867
NIC952	14.375590593674938
NIC953	14.40620190802619
NIC955	10.500111967751941
NIC956	16.002086134380537
NIC957	11.552710036162454
NIC958	13.636693825573877
NIC959	14.20287379749027
NIC961	10.153816084837498
NIC962	11.176751358496373
NIC964	12.849853703164937
NIC965	12.341102281552583
NIC970	14.691447620347152
