Gene	logp
QX1410.9180	27.760279365731893
ORF	22.542659641391147
QX1410.9183	24.016533905138783
QX1410.9184	24.016533905138783
QX1410.9184	17.371973240412895
QX1410.9184	17.25627135149421
ORF	18.565121715933255
